Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Peca_ID",21341C78-7F7F-8E2F-AB70-40583A911ADD,104,,4EDE6BE8-06ED-D16E-E4F7-3C626A233D5A,76,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Peças",P,,NUMBER,1,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Peças_Peca_ID",7FF8901C-942A-6826-06CE-897F5D2E269D,105,,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Venda",,F,NUMBER,4,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Peças_Peca_ID",F442F91E-9E2A-DE0D-413B-3926ADBFF317,106,,9705F61E-48B5-B47B-0583-976384226EB5,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Forncecimento",,F,NUMBER,4,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Preco_Peca",05E727E5-A123-3190-9972-3BAA0FBBD372,107,,4EDE6BE8-06ED-D16E-E4F7-3C626A233D5A,76,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Peças",,,NUMBER,5,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,,,
"Sexo_Cliente",72F4D9D5-55C3-10B2-CF51-C56BC9C96F3B,108,,4A969A4F-6BC3-2571-B343-080C7636608D,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Cliente",,,VARCHAR2,4,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",1,,,
"Tipo_Carro",69AEEAB0-E33D-14F9-B27E-E829005C6E6A,109,,0111310C-88AB-D611-0FCE-1C65F0AB24B5,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Carro",,,VARCHAR2,5,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",10,,,
"Tipo_Forncedor",1B538F80-F8CB-7FF8-3CBB-A37E64402236,110,,FA0B8CA5-C8A8-9312-E928-B2D533FD6A68,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Forncedor",,,VARCHAR2,4,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",1,,,
"Tipo_Peca",108B6EDE-89F4-7534-AA7D-5C320A18646D,111,,4EDE6BE8-06ED-D16E-E4F7-3C626A233D5A,76,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Peças",,,VARCHAR2,4,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",20,,,
"UF_Fornecedor",1E6AFAFF-1280-646C-31F8-59E8ADCEF8B1,112,,FA0B8CA5-C8A8-9312-E928-B2D533FD6A68,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Forncedor",,,VARCHAR2,5,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",2,,,
"Venda_ID",ADEFA542-A294-9F32-F4FC-C3E5E474375A,113,,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Venda",P,,NUMBER,1,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Vendedor_ID",D777FBFF-D240-1856-B386-F6FF447572F4,114,,9DE603ED-0764-A57D-1E2B-0E1A5D16E097,78,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Vendedor",P,,NUMBER,1,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
"Vendedor_Vendedor_ID",617B745C-5D64-D6E7-64E2-56C0D250C25F,115,,88A9691C-B158-C6C2-00FB-3322ED316E0F,77,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Venda",,F,NUMBER,5,515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",,10,,
