Logical_Model_ID,Num_Logical_Model_ID,Logical_Model_Name,Logical_Object_ID,Num_Logical_Object_ID,Logical_Object_Name,Relational_Model_ID,Num_Relational_Model_ID,Relational_Model_Name,Relational_Object_ID,Num_Relational_Object_ID,Relational_Object_Name,Entity_Name,Table_Name
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",6E91B562-9EDD-E5D7-9511-3330D72E51C8,0,"Relation_9",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",5846AD1B-2FE2-AA5B-2157-1FA96904E27D,133,"Forncecimento_Carro_FK",,,
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",79350BFE-B2E6-3E49-2542-E0BBB600935B,0,"Fornecedor_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",366447B2-90B6-4496-9A96-37E68064BD2A,95,"Fornecedor_ID","Forncedor","Forncedor",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",81AA49A2-8F3D-64EC-4C87-4D5EDAD1C5BF,0,"Forncecimento",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",9705F61E-48B5-B47B-0583-976384226EB5,73,"Forncecimento",Forncecimento,"Forncecimento",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",845125B1-5D62-BE02-ABD5-1E5E70C29FD1,0,"Carro_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",0AF3B8B6-2796-98B9-4A0F-E1EF1A21F58E,79,"Carro_Carro_ID","Venda","Venda",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",89622869-E5A5-A6F2-BFB3-FCE1554EAAA1,0,"Forncedor",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",FA0B8CA5-C8A8-9312-E928-B2D533FD6A68,74,"Forncedor",Forncedor,"Forncedor",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",8A7C7A94-9650-B70F-BD18-643D21C6BD49,0,"Tipo_Peca",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",108B6EDE-89F4-7534-AA7D-5C320A18646D,111,"Tipo_Peca","Peças","Peças",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",9367CFC9-EE97-667A-F09A-A79C92913AB0,0,"Vendedor_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",617B745C-5D64-D6E7-64E2-56C0D250C25F,115,"Vendedor_Vendedor_ID","Venda","Venda",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",99F5BB62-A72F-8BA7-3F4C-D5F468958014,0,"Nome_Cliente",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",9C6F98C5-E759-9BD1-58E5-C2109A4A3718,101,"Nome_Cliente","Cliente","Cliente",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",9E27098F-9E05-24B3-4C5C-822B92F169B7,0,"Data_Venda",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",88F792D4-CC1E-74E8-C475-91D69DC4306E,88,"Data_Venda","Venda","Venda",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",A7C3A843-735D-229D-FA9E-E04E8EBD667B,0,"Cliente PK",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",66EDEF1A-68C3-1F0F-D714-4BF3DE2C2A7B,117,"Cliente_PK","Cliente","Cliente",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",A8E93C9D-02FD-E762-6689-66D44122CCA1,0,"CNPJ_Fornecedor",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",5A85653B-3405-76C7-948C-ACC9307433A8,85,"CNPJ_Fornecedor","Forncedor","Forncedor",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",AC4C9962-F611-938C-AE40-49319E73C474,0,"Peças",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",4EDE6BE8-06ED-D16E-E4F7-3C626A233D5A,76,"Peças",Peças,"Peças",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",B13E984B-CC79-D51D-B5BB-E24BC9E36872,0,"Venda",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",88A9691C-B158-C6C2-00FB-3322ED316E0F,77,"Venda",Venda,"Venda",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",B57EEC38-C264-D957-D437-D4379E5BB2A3,0,"UF_Fornecedor",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",1E6AFAFF-1280-646C-31F8-59E8ADCEF8B1,112,"UF_Fornecedor","Forncedor","Forncedor",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",C1FD0B0F-311E-1EF6-D9D7-55B57EC0765F,0,"Peca_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",7FF8901C-942A-6826-06CE-897F5D2E269D,105,"Peças_Peca_ID","Venda","Venda",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",C2EA79E3-4A41-4546-4890-99C9123DD0D6,0,"Idade_Cliente",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",2D9CEE5E-1470-FC15-6A30-18ED5600AE37,96,"Idade_Cliente","Cliente","Cliente",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",C6C8445C-7D50-5FA7-3E6D-5805569B863C,0,"Cliente",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",4A969A4F-6BC3-2571-B343-080C7636608D,72,"Cliente",Cliente,"Cliente",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",C715BE5B-A1C4-BE33-CDFE-8396CECF42EE,0,"Carro_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",B6BA5B79-AB02-3FCB-1372-60C6077D5F35,80,"Carro_Carro_ID","Forncecimento","Forncecimento",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",CD46BD84-6FD6-91E4-74FD-F81ECC9A836C,0,"Relation_8",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",6AA684DE-B85A-081F-8C6A-AB4B6C125AB1,135,"Forncecimento_Peças_FK",,,
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",CE687DFA-5A21-B38F-9CE3-02475EFD9CCA,0,"Vendedor PK",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",B2F87CD0-9FDA-4891-5E7F-651807F8B493,130,"Vendedor_PK","Vendedor","Vendedor",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",D3CC20E5-E6D1-CF6E-494B-D1C4EDE17DB9,0,"Fabricante_Peca",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",10154322-F48D-CCCD-5C5C-720BCDC1AB98,92,"Fabricante_Peca","Peças","Peças",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",DCFD8D49-A256-5EA1-9CAD-B6CB127F3A92,0,"Estado",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",BB21B4FE-0A2A-F4D0-3343-29AC59902FBE,90,"Estado","Localidade","Localidade",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",DDD46AE3-03D4-7A9D-4C4B-45508474E5BF,0,"Modelo_Carro",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",C2BF47EC-346D-729B-FD8B-903177C66375,100,"Modelo_Carro","Carro","Carro",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",DEA21652-D0AA-3914-402B-EFE367709269,0,"Nome_Fornecedor",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",2B2A6336-1B49-A831-0FF5-2BB93B9DED17,102,"Nome_Fornecedor","Forncedor","Forncedor",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",E216C270-BE04-45F8-B92E-19E199F3ACFE,0,"Tipo_Carro",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",69AEEAB0-E33D-14F9-B27E-E829005C6E6A,109,"Tipo_Carro","Carro","Carro",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",E4E7ABE9-B17A-3BE4-4CF5-BA8A90D03ACC,0,"Carro PK",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",357C1512-7F9B-54B1-1387-7E000C923A1C,116,"Carro_PK","Carro","Carro",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",EB874B80-A885-A099-9BE4-B7BFB4C1B553,0,"Relation_1",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",610B162C-5716-DD21-3B1C-BA2B4EFA5C1E,132,"Cliente_Localidade_FK",,,
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",EBC5E80A-7069-6BBA-54D7-0E7EEED6D7FC,0,"Localidade PK",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",201E899B-782B-3058-555F-BC143B670E3A,120,"Localidade_PK","Localidade","Localidade",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",ED3D722B-66ED-FAC5-2661-44A9C0731220,0,"Peca_ID",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",F442F91E-9E2A-DE0D-413B-3926ADBFF317,106,"Peças_Peca_ID","Forncecimento","Forncecimento",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",F95B809B-D3CF-EA8D-1FE1-6CD236011A68,0,"Descricao_Peca",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",A87DE436-BD39-D11B-AF29-26CA82DDCC28,89,"Descricao_Peca","Peças","Peças",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",FBAE6C29-57A5-8D98-EC92-4160002877F5,0,"Peças PK",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",65DD0C1C-C8F7-0922-BF16-F7334807159F,119,"Peças_PK","Peças","Peças",
DFAF04A5-F875-C094-31C7-AB4E70418D64,0,"Logical",FD5C9546-6B79-3B5E-B17E-DEC3B1AEDBF4,0,"Vendedor",515EBCE2-794F-9014-01BB-250EE78140AB,70,"Relational_1",9DE603ED-0764-A57D-1E2B-0E1A5D16E097,78,"Vendedor",Vendedor,"Vendedor",
